speaker,KOAL_free,KOAL_elic,KA:L_free,KA:L_elic
B1 81 f,0,1,0,0
B3 80 f,3,13,0,0
B4 79 f,1,0,0,0
B6 69 f,0,4,0,0
B7 66 f,1,1,0,0
B8 57 f,0,1,0,0
B10 43 f,0,1,0,0
G2 75 f,4,12,0,0
G3 72 m,1,9,0,0
G4 68 f,2,4,0,0
G5 68 m,0,1,0,0
E3 [85] m,0,0,0,1
E4 82 m,0,0,9,6
E7 ?74 f,0,0,1,0
E9 70 m,0,0,0,1
E10 70 m,0,0,4,3
E11 70 f,0,0,0,1
E12 ?68 f,0,0,0,1
E13 [67] f,0,0,1,3
E16 64 m,0,0,0,1
E17 64 f,0,0,35,2
E22 58 f,0,0,0,5
E23 57 m,0,0,0,1
E25 57 f,0,0,0,2
E26 54 f,0,0,31,9
E27 54 m,0,0,10,7
E29 50 f,0,0,9,4
E30 49 m,0,0,5,3
E33 45 m,0,0,0,2
E34 45 f,0,0,5,3
E38 40 f,0,0,0,1
E40 36 f,0,0,13,3
